position,artist,track,album,shelf_artist,shelf_album,disc,track_number,duration_ms,spotify_track_uri
171,"Eminem, Obie Trice",Drips,The Eminem Show,Eminem,The Eminem Show,1,9,285640,spotify:track:7io19rjxOFu3pGuZgBI6Pk
172,Eminem,Without Me,The Eminem Show,Eminem,The Eminem Show,1,10,290320,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk
173,Eminem,Paul Rosenberg - Skit,The Eminem Show,Eminem,The Eminem Show,1,11,22746,spotify:track:0EgkVzDidmq4MP57jZFeik
174,Eminem,Sing For The Moment,The Eminem Show,Eminem,The Eminem Show,1,12,339546,spotify:track:3CpoeW0cZSDzIRv5z34F87
175,"Eminem, Dina Rae",Superman,The Eminem Show,Eminem,The Eminem Show,1,13,350320,spotify:track:4woTEX1wYOTGDqNXuavlRC
176,Eminem,Hailie's Song,The Eminem Show,Eminem,The Eminem Show,1,14,320640,spotify:track:6Db8IlZ7YY1pfIjJllejyH
177,Eminem,Steve Berman - Skit,The Eminem Show,Eminem,The Eminem Show,1,15,33106,spotify:track:5ZxX55HFfi4aofGTxMp58x
178,"Eminem, D12",When The Music Stops,The Eminem Show,Eminem,The Eminem Show,1,16,269013,spotify:track:73qINA7ccO03wxD8nsJalr
179,"Eminem, Dr. Dre",Say What You Say,The Eminem Show,Eminem,The Eminem Show,1,17,309893,spotify:track:4EQkcrSLF3QdlwNca7sMXY
180,"Eminem, Nate Dogg",Till I Collapse,The Eminem Show,Eminem,The Eminem Show,1,18,297786,spotify:track:4xkOaSrkexMciUUogZKVTS
181,"Eminem, Hailie Jade",My Dad's Gone Crazy,The Eminem Show,Eminem,The Eminem Show,1,19,267013,spotify:track:3F14hbIqy1JKKLTb1mzdYV
182,Eminem,Curtains Close,The Eminem Show,Eminem,The Eminem Show,1,20,61866,spotify:track:51LeDAMy6nWqKdjVo7jK4j
183,"Philip Bailey, Phil Collins",Easy Lover,The Singles,Phil Collins,...Hits,1,1,303746,spotify:track:5LYJ631w9ps5h9tdvac7yP
184,Phil Collins,Two Hearts - 2016 Remaster,The Singles,Phil Collins,...Hits,1,2,204266,spotify:track:3mbikJiGsRDavmAEw0Demc
185,Phil Collins,Sussudio - 2016 Remaster,The Singles,Phil Collins,...Hits,1,3,263106,spotify:track:6RL313g1FMEKmivaJclrXP
186,Phil Collins,I Missed Again - 2015 Remaster,The Singles,Phil Collins,...Hits,1,4,224106,spotify:track:6KGXQfkR2hmcuMh0tEKzgH
187,Phil Collins,Wear My Hat - 2016 Remaster,The Singles,Phil Collins,...Hits,1,5,282786,spotify:track:22lLhH6WTqum9WOXg9KWwX
188,Phil Collins,Don't Lose My Number - 2016 Remaster,The Singles,Phil Collins,...Hits,1,6,288533,spotify:track:6jIt3SVMR6xlrtXE4Ez6ds
189,Phil Collins,You Can't Hurry Love - 2016 Remaster,The Singles,Phil Collins,...Hits,1,7,174080,spotify:track:4RbZC2r7tQe03GeusalOwC
190,Phil Collins,Something Happened on the Way to Heaven - 2016 Remaster,The Singles,Phil Collins,...Hits,1,8,291586,spotify:track:5fKwsXn0vlwjV8UW0bswwU
191,Phil Collins,We Wait and We Wonder - 2015 Remaster,The Singles,Phil Collins,...Hits,1,9,420386,spotify:track:7cXOZ73UAKNJ5xQIVcJL79
192,Phil Collins,Can't Stop Loving You - 2016 Remaster,The Singles,Phil Collins,...Hits,1,10,256799,spotify:track:1AVaegz7sSlUcFDz4y2lCg
193,Phil Collins,Dance into the Light - 2016 Remaster,The Singles,Phil Collins,...Hits,1,11,263920,spotify:track:3VwVNiSrOT25KzXN5Vw1Qe
194,Phil Collins,It's in Your Eyes - 2016 Remaster,The Singles,Phil Collins,...Hits,1,12,184600,spotify:track:5czXfw3rCCUzPsmgkAE2yA
195,Phil Collins,Hang in Long Enough - 2016 Remaster,The Singles,Phil Collins,...Hits,1,13,284906,spotify:track:0ravApW7lrMa7AIm1eyOlM
196,Phil Collins,Thru These Walls - 2016 Remaster,The Singles,Phil Collins,...Hits,1,14,304986,spotify:track:3aPmVVEU2dVkMO2TccpgHb
197,Phil Collins,I Wish It Would Rain Down - 2016 Remaster,The Singles,Phil Collins,...Hits,1,15,328933,spotify:track:5EgJmdHDzAwyX84lu3idQm
198,Phil Collins,Both Sides of the Story - 2015 Remaster,The Singles,Phil Collins,...Hits,1,16,402533,spotify:track:4W5YHFtHyX2JbsvLMZUp1k
199,Phil Collins,(Love Is like A) Heatwave - 2016 Remaster,The Singles,Phil Collins,...Hits,1,17,172773,spotify:track:2Dx6OwbueJaZ3FHhNVLn3r
200,Phil Collins,Going Back - 2016 Remaster,The Singles,Phil Collins,...Hits,2,1,278933,spotify:track:69o5zbKcj2uKisfvnoDGpK
201,Phil Collins,In the Air Tonight - 2015 Remaster,The Singles,Phil Collins,...Hits,2,2,335973,spotify:track:0lLTc1wmgU3dE2xDZCkWVU
202,Phil Collins,Against All Odds (Take a Look at Me Now) - 2016 Remaster,The Singles,Phil Collins,...Hits,2,3,205413,spotify:track:3cKgbanUbfrBeoFQtO6rf5
203,Phil Collins,If Leaving Me Is Easy - 2015 Remaster,The Singles,Phil Collins,...Hits,2,4,296000,spotify:track:4KgCJKnbIODrxzH8uCjixY
204,Phil Collins,One More Night - 2016 Remaster,The Singles,Phil Collins,...Hits,2,5,288986,spotify:track:2bRa7muiAOPrkofYUTiO70
205,"Phil Collins, Marilyn Martin",Separate Lives - 2016 Remaster,The Singles,Phil Collins,...Hits,2,6,248080,spotify:track:2kutWXrLM96DH8Prv2Ce8g
206,Phil Collins,A Groovy Kind of Love - 2016 Remaster,The Singles,Phil Collins,...Hits,2,7,210333,spotify:track:7jIbME4XbPYCoDjCDaSAP8
207,Phil Collins,That's Just the Way It Is - 2016 Remaster,The Singles,Phil Collins,...Hits,2,8,320306,spotify:track:7cw2Vgy359X6c3Ey3e7hoJ
208,Phil Collins,Do You Remember? - 2016 Remaster,The Singles,Phil Collins,...Hits,2,9,276000,spotify:track:1a1VsD6cfedacDQGBSY3Ym
209,Phil Collins,Everyday - 2015 Remaster,The Singles,Phil Collins,...Hits,2,10,343480,spotify:track:3M1Xal4PCigZEk6lMCRuS6
210,Phil Collins,True Colors - 2016 Remaster,The Singles,Phil Collins,...Hits,2,11,274226,spotify:track:5Jw8HFCVMA8RPuFtZJugXy
211,Phil Collins,You'll Be in My Heart,The Singles,Phil Collins,...Hits,2,12,257773,spotify:track:1fTDYdx5zYfWJSX0JlKO8o
212,Phil Collins,The Least You Can Do - 2016 Remaster,The Singles,Phil Collins,...Hits,2,13,262520,spotify:track:1hjgfZfAXFIkbJ2whbpTbx
213,Brother Bear,Look Through My Eyes,The Singles,Phil Collins,...Hits,2,14,240146,spotify:track:0EK04d3US0GFEQKDuejfsD
214,Phil Collins,Another Day in Paradise - 2016 Remaster,The Singles,Phil Collins,...Hits,2,15,323053,spotify:track:27fAhqr9KHUUvIgS1nvgqr
215,Phil Collins,Take Me Home - 2016 Remaster,The Singles,Phil Collins,...Hits,2,16,353573,spotify:track:4jdt6muTuZWuJ5fbZr1JvF
216,Ed Sheeran,The A Team,+,Ed Sheeran,+ (Plus),1,1,258373,spotify:track:1XpYodsD36XN7ygcdF7mJJ
217,Ed Sheeran,Drunk,+,Ed Sheeran,+ (Plus),1,2,200093,spotify:track:4RnCPWlBsY7oUDdyruod7Y
218,Ed Sheeran,U.N.I.,+,Ed Sheeran,+ (Plus),1,3,228600,spotify:track:5Ukzlujip1Slqka5OY82YS
219,Ed Sheeran,Grade 8,+,Ed Sheeran,+ (Plus),1,4,179880,spotify:track:0obzwoGjXdORtAwYWZ9s53
220,Ed Sheeran,Wake Me Up,+,Ed Sheeran,+ (Plus),1,5,229613,spotify:track:0ygAYQQy7bfDN6gH640bbl
221,Ed Sheeran,Small Bump,+,Ed Sheeran,+ (Plus),1,6,259413,spotify:track:4z1O25cq9g2kuJemmUxc21
222,Ed Sheeran,This,+,Ed Sheeran,+ (Plus),1,7,195840,spotify:track:0pJfsPQesJyCnR5XWZyvj9
223,Ed Sheeran,The City,+,Ed Sheeran,+ (Plus),1,8,234333,spotify:track:4ucfQOYOe1Jz5KqCfpGobp
224,Ed Sheeran,Lego House,+,Ed Sheeran,+ (Plus),1,9,185093,spotify:track:5ubHAQtKuFfiG4FXfLP804
225,Ed Sheeran,"You Need Me, I Don't Need You",+,Ed Sheeran,+ (Plus),1,10,220413,spotify:track:5KL4iZkCTZyXl7KnHgfVDj
226,Ed Sheeran,Kiss Me,+,Ed Sheeran,+ (Plus),1,11,280853,spotify:track:0Tel1fmuCxEFV6wBLXsEdk
227,Ed Sheeran,Give Me Love,+,Ed Sheeran,+ (Plus),1,12,526386,spotify:track:0SuG9kyzGRpDqrCWtgD6Lq
228,Ed Sheeran,Autumn Leaves - Deluxe Edition,+,Ed Sheeran,+ (Plus),1,13,200755,spotify:track:7iBSkXB0pTvZasOLf0Qxk9
229,Ed Sheeran,Little Bird - Deluxe Edition,+,Ed Sheeran,+ (Plus),1,14,224528,spotify:track:4bcgRbGeq4IejesjsiHyTH
230,Ed Sheeran,Gold Rush - Deluxe Edition,+,Ed Sheeran,+ (Plus),1,15,243162,spotify:track:4mT5mVFaU7trA3UdbGqfB9
231,Ed Sheeran,Sunburn - Deluxe Edition,+,Ed Sheeran,+ (Plus),1,16,275882,spotify:track:3YPiRYIUFlcQ0aaLGmeswS
232,Ed Sheeran,One,x (Deluxe Edition),Ed Sheeran,x (Multiply),1,1,252760,spotify:track:5TvFfDlVoUWZvfqrhTJzD7
233,Ed Sheeran,I'm a Mess,x (Deluxe Edition),Ed Sheeran,x (Multiply),1,2,244573,spotify:track:0xCA70t1ZA4fa9UOE0lIJm
234,Ed Sheeran,Sing,x (Deluxe Edition),Ed Sheeran,x (Multiply),1,3,235382,spotify:track:6K8qKeWo5MsFED7wCR6Kop
235,Ed Sheeran,Don't,x (Deluxe Edition),Ed Sheeran,x (Multiply),1,4,219840,spotify:track:1huvTbEYtgltjQRXzrNKGi
236,Ed Sheeran,Nina,x (Deluxe Edition),Ed Sheeran,x (Multiply),1,5,225533,spotify:track:3GKSfF6c3Rv3a1knSjxnXa
237,Ed Sheeran,Photograph,x (Deluxe Edition),Ed Sheeran,x (Multiply),1,6,258986,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL
238,Ed Sheeran,Bloodstream,x (Deluxe Edition),Ed Sheeran,x (Multiply),1,7,300253,spotify:track:5v4sZRuvWDcisoOk1PFv6T
239,Ed Sheeran,Tenerife Sea,x (Deluxe Edition),Ed Sheeran,x (Multiply),1,8,241346,spotify:track:1HbcclMpw0q2WDWpdGCKdS
240,Ed Sheeran,Runaway,x (Deluxe Edition),Ed Sheeran,x (Multiply),1,9,205133,spotify:track:2VmA7bm5ECiYZfw7x4Nzku
241,Ed Sheeran,The Man,x (Deluxe Edition),Ed Sheeran,x (Multiply),1,10,250426,spotify:track:1gHF0I223J5pv06SuBcmkz
242,Ed Sheeran,Thinking out Loud,x (Deluxe Edition),Ed Sheeran,x (Multiply),1,11,281560,spotify:track:34gCuhDGsG4bRPIf9bb02f
243,Ed Sheeran,Afire Love,x (Deluxe Edition),Ed Sheeran,x (Multiply),1,12,314280,spotify:track:12B0Twa9kRz45Xw2PgXHJm
244,Ed Sheeran,Take It Back,x (Deluxe Edition),Ed Sheeran,x (Multiply),1,13,208400,spotify:track:2dmOWlEHrP266Qgz6wnUrd
245,Ed Sheeran,Shirtsleeves,x (Deluxe Edition),Ed Sheeran,x (Multiply),1,14,190226,spotify:track:7awwmuGslmuyhnlpFipDqk
246,Ed Sheeran,Even My Dad Does Sometimes,x (Deluxe Edition),Ed Sheeran,x (Multiply),1,15,228533,spotify:track:0N5zjRnf8AreOm95iSBXF4
247,Ed Sheeran,I See Fire,x (Deluxe Edition),Ed Sheeran,x (Multiply),1,16,299146,spotify:track:1fu5IQSRgPxJL2OTP7FVLW
248,Coldplay,Politik - Live in Sydney,Live 2003,Coldplay,Live 2003,1,1,396466,spotify:track:110a2YFVoGswehZi2kkVpp
249,Coldplay,God Put a Smile upon Your Face - Live in Sydney,Live 2003,Coldplay,Live 2003,1,2,296760,spotify:track:6R2ZKXEdEEYXiODsC9Fr4L
250,Coldplay,A Rush of Blood to the Head - Live in Sydney,Live 2003,Coldplay,Live 2003,1,3,410773,spotify:track:5KFf0D8pLy4mzIlaJeV57P
251,Coldplay,One I Love - Live in Sydney,Live 2003,Coldplay,Live 2003,1,4,308426,spotify:track:0bQQv5RqwLmOKNaMcfJ1If
252,Coldplay,See You Soon - Live in Sydney,Live 2003,Coldplay,Live 2003,1,5,209106,spotify:track:4o0q6U6VX4a0VTZ06GOxg2
253,Coldplay,Shiver - Live in Sydney,Live 2003,Coldplay,Live 2003,1,6,325733,spotify:track:4CCr8SvmOrHpPKeA5e0ogE
254,Coldplay,Everything's Not Lost - Live in Sydney,Live 2003,Coldplay,Live 2003,1,7,527826,spotify:track:7IWbp0yWEF8nNjMLbKF0pU
255,Coldplay,Moses - Live in Sydney,Live 2003,Coldplay,Live 2003,1,8,329173,spotify:track:1n7a6D28s08972ImtPtaxX
256,Coldplay,Yellow - Live in Sydney,Live 2003,Coldplay,Live 2003,1,9,336666,spotify:track:6cR5WracqJzYoH80lSKW0L
257,Coldplay,Clocks - Live in Sydney,Live 2003,Coldplay,Live 2003,1,10,332426,spotify:track:3cYgC50pVnjPKuh6b0xmZk
258,Coldplay,In My Place - Live in Sydney,Live 2003,Coldplay,Live 2003,1,11,253106,spotify:track:3osu6FKSmLJJmqnRw5R90G
259,Coldplay,Amsterdam - Live in Sydney,Live 2003,Coldplay,Live 2003,1,12,320160,spotify:track:3TQs5AmPNEnnTNSXzCQV7G
260,Jack Johnson,All At Once,Sleep Through The Static,Jack Johnson,Sleep Through the Static,1,1,217720,spotify:track:7p3eluZv7dxIArpFUTBkia
261,Jack Johnson,Sleep Through The Static,Sleep Through The Static,Jack Johnson,Sleep Through the Static,1,2,223400,spotify:track:6YXPye0mFJBNov8pmihMAP
262,Jack Johnson,Hope,Sleep Through The Static,Jack Johnson,Sleep Through the Static,1,3,222240,spotify:track:6PLQKVQv6BvZGtHtyJ8CaH
263,Jack Johnson,Angel,Sleep Through The Static,Jack Johnson,Sleep Through the Static,1,4,122706,spotify:track:2vO1wr5wIEHqQmY4jWbuhi
264,Jack Johnson,Enemy,Sleep Through The Static,Jack Johnson,Sleep Through the Static,1,5,228480,spotify:track:3tSZoQUyRQ6fQqOogvZOtX
265,Jack Johnson,If I Had Eyes,Sleep Through The Static,Jack Johnson,Sleep Through the Static,1,6,238813,spotify:track:3FnkZFv7kbxwlgaLgbqeDc
266,Jack Johnson,Same Girl,Sleep Through The Static,Jack Johnson,Sleep Through the Static,1,7,130613,spotify:track:2yXSduJwEJH0HpyVMavzus
267,Jack Johnson,What You Thought You Need,Sleep Through The Static,Jack Johnson,Sleep Through the Static,1,8,327266,spotify:track:33mgh5V3qu50nnJAXQqfau
268,Jack Johnson,Adrift,Sleep Through The Static,Jack Johnson,Sleep Through the Static,1,9,236226,spotify:track:2CjUSmHm2d76VoWRgpQ6mO
269,Jack Johnson,Go On,Sleep Through The Static,Jack Johnson,Sleep Through the Static,1,10,274813,spotify:track:6RD1Xy5c5xEhFeqat974kK
270,Jack Johnson,"They Do, They Don't",Sleep Through The Static,Jack Johnson,Sleep Through the Static,1,11,250093,spotify:track:6xzzm22bl8aHP3cdPPLIrO
271,Jack Johnson,While We Wait,Sleep Through The Static,Jack Johnson,Sleep Through the Static,1,12,86120,spotify:track:5x5Y2NTvhG8rALgzMtGggP
272,Jack Johnson,Monsoon,Sleep Through The Static,Jack Johnson,Sleep Through the Static,1,13,256813,spotify:track:7s4qhv3Txiv4oFWUccJsci
273,Jack Johnson,Losing Keys,Sleep Through The Static,Jack Johnson,Sleep Through the Static,1,14,268293,spotify:track:15TRZ6Lpfts7Oowxh7Ic8a
274,Jack Johnson,Times Like These,On And On,Jack Johnson,On and On,1,1,141933,spotify:track:4WM22pqXRZkcdrp7alhjsv
275,Jack Johnson,The Horizon Has Been Defeated - Single Version,On And On,Jack Johnson,On and On,1,2,153626,spotify:track:0goEaYw1cI7ubi2YO2WMFJ
276,Jack Johnson,Traffic In The Sky,On And On,Jack Johnson,On and On,1,3,170946,spotify:track:1yZFWn5IOy4spqLgJmMLmU
277,Jack Johnson,Taylor,On And On,Jack Johnson,On and On,1,4,239280,spotify:track:1J4YoubtTxLuoKBzRIzHvv
278,Jack Johnson,Gone,On And On,Jack Johnson,On and On,1,5,130013,spotify:track:4sX4O9mgw76aWhehf1eSRD
279,Jack Johnson,Cupid,On And On,Jack Johnson,On and On,1,6,65746,spotify:track:2h9ryHBPwEGlZoo5iQ7Efj
280,Jack Johnson,Wasting Time,On And On,Jack Johnson,On and On,1,7,230466,spotify:track:5nb0BEZqsmQYseSPJ932K8
281,Jack Johnson,Holes To Heaven,On And On,Jack Johnson,On and On,1,8,174840,spotify:track:33kOhqAdX4Jyq1lkkfJz6K
282,Jack Johnson,Dreams Be Dreams,On And On,Jack Johnson,On and On,1,9,132946,spotify:track:5cpK8TYeanYi6SkXP3SfGa
283,Jack Johnson,Tomorrow Morning,On And On,Jack Johnson,On and On,1,10,170733,spotify:track:7nSP35TXXGW3fYlICWR8cx
284,Jack Johnson,Fall Line,On And On,Jack Johnson,On and On,1,11,95880,spotify:track:4nvYJZca0LmEyKbwumPvsH
285,Jack Johnson,Cookie Jar,On And On,Jack Johnson,On and On,1,12,176773,spotify:track:7jE5hACenHaqB8nTBrB0uL
286,Jack Johnson,Rodeo Clowns,On And On,Jack Johnson,On and On,1,13,158413,spotify:track:422qOiUJZCd7SaEyoPAEnQ
287,Jack Johnson,Cocoon,On And On,Jack Johnson,On and On,1,14,250880,spotify:track:1SQzV8arwSEmshQ2FaMCy1
288,Jack Johnson,Mediocre Bad Guys,On And On,Jack Johnson,On and On,1,15,179920,spotify:track:1NBogIJPGYfOuR0yKKqP9a
289,Jack Johnson,Symbol In My Driveway,On And On,Jack Johnson,On and On,1,16,170293,spotify:track:5q1dHWnGTMkyv0yMlOklB2
290,Bob Dylan,The Times They Are A-Changin',The Times They Are A-Changin',Bob Dylan,The Times They Are A-Changin',1,1,197020,spotify:track:52vA3CYKZqZVdQnzRrdZt6
291,Bob Dylan,Ballad of Hollis Brown,The Times They Are A-Changin',Bob Dylan,The Times They Are A-Changin',1,2,307421,spotify:track:3Si9u9FVlUTcUXVcawnstJ
292,Bob Dylan,With God on Our Side,The Times They Are A-Changin',Bob Dylan,The Times They Are A-Changin',1,3,429766,spotify:track:5hBOEqqkcQaUgkRhh6EyX4
293,Bob Dylan,One Too Many Mornings,The Times They Are A-Changin',Bob Dylan,The Times They Are A-Changin',1,4,162436,spotify:track:5ATUmaVJWUTTagmPwQLck3
294,Bob Dylan,North Country Blues,The Times They Are A-Changin',Bob Dylan,The Times They Are A-Changin',1,5,276938,spotify:track:3cY8cOjaN8Lwi08g9Fpr6D
295,Bob Dylan,Only a Pawn in Their Game,The Times They Are A-Changin',Bob Dylan,The Times They Are A-Changin',1,6,212899,spotify:track:6lib77q4koq52srysevRfT
296,Bob Dylan,Boots of Spanish Leather,The Times They Are A-Changin',Bob Dylan,The Times They Are A-Changin',1,7,280305,spotify:track:6QHYEZlm9wyfXfEM1vSu1P
297,Bob Dylan,When the Ship Comes In,The Times They Are A-Changin',Bob Dylan,The Times They Are A-Changin',1,8,198181,spotify:track:7hMhO4oenpVkVaM5bNkEbz
298,Bob Dylan,The Lonesome Death of Hattie Carroll,The Times They Are A-Changin',Bob Dylan,The Times They Are A-Changin',1,9,348663,spotify:track:6j1fiAG1NFBqPDRfJY19Yv
299,Bob Dylan,Restless Farewell,The Times They Are A-Changin',Bob Dylan,The Times They Are A-Changin',1,10,332521,spotify:track:1LGmxVTktSQBIpKPymNrWl
300,David Bowie,Space Oddity - 2015 Remaster,ChangesOneBowie,David Bowie,ChangesBowie,1,1,318026,spotify:track:0waHAu7Lr4vXxP3OWsnwLt
301,David Bowie,"John, I'm Only Dancing - Original Single Version, 2012 Remaster",ChangesOneBowie,David Bowie,ChangesBowie,1,2,166786,spotify:track:6HnFPoxGjTsXe9AZO4rrvd
302,David Bowie,Changes - 2015 Remaster,ChangesOneBowie,David Bowie,ChangesBowie,1,3,217746,spotify:track:3HlOk3Iy7vkOfROwBbJqfx
303,David Bowie,Ziggy Stardust - 2012 Remaster,ChangesOneBowie,David Bowie,ChangesBowie,1,4,193666,spotify:track:1oganPK3TpGadtzSRxrl0O
304,David Bowie,Suffragette City - 2012 Remaster,ChangesOneBowie,David Bowie,ChangesBowie,1,5,208413,spotify:track:2t9mpWiGDgTMKzGfyzSMBG
305,David Bowie,The Jean Genie - 2013 Remaster,ChangesOneBowie,David Bowie,ChangesBowie,1,6,248013,spotify:track:53owI5jvlRJwq5txfo4Ckb
306,David Bowie,Diamond Dogs - 2016 Remaster,ChangesOneBowie,David Bowie,ChangesBowie,1,7,366120,spotify:track:08JRM2skZjo1okU7GBJhiI
307,David Bowie,Rebel Rebel - 2016 Remaster,ChangesOneBowie,David Bowie,ChangesBowie,1,8,273680,spotify:track:1zESgGfpyvocCGZexz3jQL
308,David Bowie,Young Americans - 2016 Remaster,ChangesOneBowie,David Bowie,ChangesBowie,1,9,313706,spotify:track:1E6O2lMOZbzGRS38rAer2I
309,David Bowie,Fame - 2016 Remaster,ChangesOneBowie,David Bowie,ChangesBowie,1,10,264240,spotify:track:5m32XcVbgD5aUGO0DHrY2C
310,David Bowie,Golden Years - 2016 Remaster,ChangesOneBowie,David Bowie,ChangesBowie,1,11,243280,spotify:track:5oR2dGPNuNJ3ApZjQ2zUwN
311,Creedence Clearwater Revival,Susie Q,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival,Chronicle,1,1,274160,spotify:track:6z2AyfE9GZxoHqJVSA4NgN
312,Creedence Clearwater Revival,I Put A Spell On You,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival,Chronicle,1,2,272160,spotify:track:5AmWO1ItTiv3XV0AnVEiiI
313,Creedence Clearwater Revival,Proud Mary,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival,Chronicle,1,3,188666,spotify:track:031rVKYjBhsaVM8o1i1vK0
314,Creedence Clearwater Revival,Bad Moon Rising - Remastered 1985,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival,Chronicle,1,4,139506,spotify:track:2ZFxZ4QNiciMhvJV2GjKWL
315,Creedence Clearwater Revival,Lodi - Remastered 1985,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival,Chronicle,1,5,190400,spotify:track:0LMURKNxUPx7OIInOqSc3N
316,Creedence Clearwater Revival,Green River - Remastered 1985,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival,Chronicle,1,6,153306,spotify:track:0mRLlcbMVGMjT5Pca8uMzl
317,Creedence Clearwater Revival,Commotion - Remastered 1985,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival,Chronicle,1,7,162400,spotify:track:6fgY7rONmvknffLDwggHNZ
318,Creedence Clearwater Revival,Down On The Corner,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival,Chronicle,1,8,164560,spotify:track:4IiRAL0swv6SGt92wsFXlG
319,Creedence Clearwater Revival,Fortunate Son,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival,Chronicle,1,9,139160,spotify:track:7GkM8M2EC8OJblOxQxAR7t
320,Creedence Clearwater Revival,Travelin' Band,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival,Chronicle,1,10,127400,spotify:track:2A0IRQ2Wq0dCoTfZGWoGkI
321,Creedence Clearwater Revival,Who'll Stop The Rain,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival,Chronicle,1,11,148333,spotify:track:4hqhLTbu0YtJVIdMs5ysPK
322,Creedence Clearwater Revival,Up Around The Bend,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival,Chronicle,1,12,161800,spotify:track:2yVgB9jAOHncthn5HEQoee
323,Creedence Clearwater Revival,Run Through The Jungle,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival,Chronicle,1,13,186066,spotify:track:2LlrAzrL7eQwXrlplmyAde
324,Creedence Clearwater Revival,Lookin' Out My Back Door,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival,Chronicle,1,14,152373,spotify:track:2os4nK3Y63rxYs53hVxexF
325,Creedence Clearwater Revival,Long As I Can See The Light,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival,Chronicle,1,15,212866,spotify:track:3ZcFy6KzILYzlmkQhszjSk
326,Creedence Clearwater Revival,I Heard It Through The Grapevine,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival,Chronicle,1,16,664333,spotify:track:6Fu2DQzXvx28qYEPrXDikG
327,Creedence Clearwater Revival,Have You Ever Seen The Rain,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival,Chronicle,1,17,160000,spotify:track:5XE8c07vbpQBUriwybOHtd
328,Creedence Clearwater Revival,Hey Tonight,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival,Chronicle,1,18,161600,spotify:track:76zk8LzjlJCqcsqLlac9pY
329,Creedence Clearwater Revival,Sweet Hitch-Hiker,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival,Chronicle,1,19,174333,spotify:track:7sd33gT2RyV5S3iENbHGX6
330,Creedence Clearwater Revival,Someday Never Comes,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival,Chronicle,1,20,240333,spotify:track:5wVKzjsuNby57JyhOMigvP
331,Eagles,Hotel California - 2013 Remaster,Hotel California (2013 Remaster),Eagles,Hotel California,1,1,391376,spotify:track:40riOy7x9W7GXjyGp4pjAv
332,Eagles,New Kid in Town - 2013 Remaster,Hotel California (2013 Remaster),Eagles,Hotel California,1,2,304925,spotify:track:6Zyz8lsnMFpIrCTuvGurCB
333,Eagles,Life in the Fast Lane - 2013 Remaster,Hotel California (2013 Remaster),Eagles,Hotel California,1,3,286219,spotify:track:6gXrEUzibufX9xYPk3HD5p
334,Eagles,Wasted Time - 2013 Remaster,Hotel California (2013 Remaster),Eagles,Hotel California,1,4,296172,spotify:track:0Q5YtY85lz5n7rQkeMNpoe
335,Eagles,Wasted Time (Reprise) - 2013 Remaster,Hotel California (2013 Remaster),Eagles,Hotel California,1,5,83426,spotify:track:7soAdgnUJFcVYA4fiTjFwh
336,Eagles,Victim of Love - 2013 Remaster,Hotel California (2013 Remaster),Eagles,Hotel California,1,6,250089,spotify:track:1tKha6Q0lYlW1qsWYbZB2N
337,Eagles,Pretty Maids All in a Row - 2013 Remaster,Hotel California (2013 Remaster),Eagles,Hotel California,1,7,239493,spotify:track:1LWDDpoVNF6YAFt95ETAS2
338,Eagles,Try and Love Again - 2013 Remaster,Hotel California (2013 Remaster),Eagles,Hotel California,1,8,311068,spotify:track:3ULgE72PnMaeV6lzA0G6Jv
339,Eagles,The Last Resort - 2013 Remaster,Hotel California (2013 Remaster),Eagles,Hotel California,1,9,444911,spotify:track:0MrZG1nTNQVzeSJKi6gFVF
340,Pink Floyd,Hey You,A Foot in the Door: The Best of Pink Floyd,Pink Floyd,A Foot in the Door - The Best of Pink Floyd,1,1,278706,spotify:track:7aK18sdq8pknGPf7NLeBG3
341,Pink Floyd,See Emily Play,A Foot in the Door: The Best of Pink Floyd,Pink Floyd,A Foot in the Door - The Best of Pink Floyd,1,2,162946,spotify:track:1tCImiMPa0naxjcO9nJu92
342,Pink Floyd,The Happiest Days of Our Lives,A Foot in the Door: The Best of Pink Floyd,Pink Floyd,A Foot in the Door - The Best of Pink Floyd,1,3,98266,spotify:track:0NZ1PGO6AWgMwwwmgkJNTM
